ID,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Season,Review Rating,Previous Purchases,Frequency of Purchases,Height,Breadth,Length,Vendor Name,Vendor Ratings,Warehouse Name,Profit Margins (%)
26,Male,Belt,Accessories,95,Tennessee,S,Winter,3.0,47,Monthly,16,15,26,Vendor A,2.2,Warehouse E,32.22
27,Male,Dress,Clothing,44,New Hampshire,L,Spring,3.2,31,Monthly,5,44,32,Vendor B,4.4,Warehouse E,42.21
28,Female,Backpack,Accessories,86,Nevada,L,Spring,4.0,16,Every 3 Months,16,36,32,Vendor A,2.2,Warehouse E,33.27
29,Male,Sunglasses,Accessories,77,California,L,Spring,4.5,24,Monthly,6,45,38,Vendor A,2.2,Warehouse E,26.42
30,Female,Sandals,Footwear,20,Maryland,S,Summer,4.7,40,Every 3 Months,6,29,28,Vendor C,3.3,Warehouse E,24.84
31,Male,Hat,Accessories,37,Alaska,L,Spring,4.8,45,Bi-Weekly,19,47,16,Vendor F,4.8,Warehouse E,30.87
32,Male,Sunglasses,Accessories,48,Vermont,M,Fall,3.9,3,Quarterly,5,43,47,Vendor A,2.2,Warehouse C,42.1
33,Male,Jacket,Outerwear,67,Kansas,M,Summer,4.9,37,Annually,18,49,26,Vendor F,4.8,Warehouse E,13.84
34,Male,Sneakers,Footwear,38,Wisconsin,M,Summer,4.2,7,Every 3 Months,13,35,45,Vendor D,2.6,Warehouse E,42.65
35,Male,Skirt,Clothing,35,Tennessee,S,Winter,4.1,12,Monthly,8,12,28,Vendor B,4.4,Warehouse E,16.03
36,Female,Handbag,Accessories,29,North Dakota,M,Fall,4.1,16,Monthly,9,36,19,Vendor E,1.5,Warehouse E,7.07
37,Male,Boots,Footwear,59,Nevada,L,Summer,2.6,45,Quarterly,20,17,15,Vendor A,2.2,Warehouse E,40.87
38,Female,Skirt,Clothing,65,Colorado,L,Summer,3.2,2,Annually,8,46,26,Vendor B,4.4,Warehouse E,18.74
39,Female,Boots,Footwear,47,Maryland,M,Summer,4.1,31,Fortnightly,18,19,34,Vendor E,1.5,Warehouse E,38.29
40,Female,Belt,Accessories,35,Missouri,S,Winter,2.6,13,Weekly,16,23,37,Vendor C,3.3,Warehouse E,47.03
41,Female,Sunglasses,Accessories,76,Tennessee,M,Fall,4.0,49,Bi-Weekly,12,12,18,Vendor F,4.8,Warehouse E,46.03
42,Female,Jeans,Clothing,87,Maryland,L,Summer,3.8,46,Monthly,8,33,17,Vendor A,2.2,Warehouse E,30.95
43,Male,Pants,Clothing,76,Delaware,M,Summer,3.2,14,Monthly,7,22,13,Vendor D,2.6,Warehouse E,5.19
44,Male,Gloves,Accessories,91,Arkansas,L,Spring,4.4,46,Bi-Weekly,6,26,26,Vendor D,2.6,Warehouse E,42.5
45,Male,Handbag,Accessories,42,Hawaii,M,Spring,2.6,45,Quarterly,14,40,20,Vendor A,2.2,Warehouse B,40.21
46,Male,Dress,Clothing,45,Texas,M,Summer,2.5,25,Weekly,7,13,20,Vendor F,4.8,Warehouse D,11.73
47,Male,Sneakers,Footwear,59,Wyoming,XL,Winter,3.4,34,Weekly,9,10,21,Vendor D,2.6,Warehouse E,23.54
48,Male,Sweater,Clothing,90,Indiana,M,Fall,4.9,25,Quarterly,10,23,47,Vendor F,4.8,Warehouse E,13.7
49,Male,Shirt,Clothing,25,Minnesota,M,Summer,4.9,11,Fortnightly,13,42,26,Vendor E,1.5,Warehouse E,33.32
50,Male,Shorts,Clothing,62,Louisiana,S,Spring,4.0,37,Fortnightly,11,11,21,Vendor D,2.6,Warehouse E,36.91
51,Female,Boots,Footwear,95,Mississippi,S,Winter,3.8,33,Quarterly,9,20,27,Vendor F,4.8,Warehouse E,49.96
52,Male,Blouse,Clothing,30,Maryland,XL,Fall,3.0,31,Annually,12,47,47,Vendor G,3.0,Warehouse E,18.13
53,Male,Jacket,Outerwear,23,Connecticut,S,Fall,3.5,34,Every 3 Months,8,33,35,Vendor H,3.9,Warehouse E,5.35
54,Male,Socks,Clothing,90,Delaware,L,Fall,4.9,45,Fortnightly,15,36,46,Vendor F,4.8,Warehouse E,38.83
55,Male,Socks,Clothing,51,Minnesota,M,Summer,4.5,3,Bi-Weekly,10,45,11,Vendor B,4.4,Warehouse E,5.61
56,Male,Backpack,Accessories,58,Indiana,M,Summer,3.5,50,Annually,16,41,50,Vendor C,3.3,Warehouse E,15.92
57,Male,Sweater,Clothing,22,Idaho,M,Spring,3.0,46,Every 3 Months,13,16,35,Vendor E,1.5,Warehouse E,7.29
58,Female,Belt,Accessories,45,Ohio,M,Winter,3.3,15,Annually,19,31,16,Vendor H,3.9,Warehouse E,17.95
59,Female,Pants,Clothing,64,New Mexico,L,Summer,3.3,50,Quarterly,15,42,27,Vendor C,3.3,Warehouse E,44.68
60,Male,Shoes,Footwear,61,Connecticut,L,Summer,3.5,4,Annually,19,14,43,Vendor E,1.5,Warehouse E,47.05
61,Female,Pants,Clothing,25,Nebraska,L,Winter,3.3,48,Monthly,12,38,50,Vendor H,3.9,Warehouse E,49.42
62,Male,Shirt,Clothing,77,Kansas,M,Spring,3.8,1,Every 3 Months,8,32,29,Vendor F,4.8,Warehouse E,34.63
63,Male,Pants,Clothing,36,Vermont,XL,Winter,4.0,15,Bi-Weekly,8,28,36,Vendor F,4.8,Warehouse C,38.48
64,Male,Jacket,Outerwear,90,Michigan,L,Spring,4.9,21,Quarterly,18,36,32,Vendor A,2.2,Warehouse E,15.72
65,Male,Coat,Outerwear,78,Idaho,XL,Fall,3.1,27,Bi-Weekly,8,29,18,Vendor E,1.5,Warehouse E,16.8
66,Male,Shoes,Footwear,72,New Mexico,L,Winter,4.5,48,Every 3 Months,8,11,20,Vendor C,3.3,Warehouse E,37.99
67,Male,Boots,Footwear,73,South Carolina,L,Fall,3.8,15,Quarterly,6,19,34,Vendor A,2.2,Warehouse E,15.07
68,Female,Socks,Clothing,55,Nevada,XL,Spring,4.4,30,Weekly,12,50,48,Vendor D,2.6,Warehouse E,33.72
69,Male,Socks,Clothing,36,Utah,S,Fall,4.2,7,Fortnightly,12,19,22,Vendor D,2.6,Warehouse E,5.84
70,Male,Shorts,Clothing,37,Kansas,M,Spring,4.7,2,Monthly,6,27,36,Vendor F,4.8,Warehouse E,9.2
71,Male,Jacket,Outerwear,25,Colorado,L,Spring,4.7,11,Quarterly,6,11,40,Vendor H,3.9,Warehouse E,35.53
72,Female,Shirt,Clothing,76,Arkansas,L,Fall,3.4,14,Bi-Weekly,5,16,15,Vendor B,4.4,Warehouse E,42.84
73,Female,Sandals,Footwear,66,New Mexico,M,Spring,4.5,36,Annually,18,12,21,Vendor A,2.2,Warehouse E,28.81
74,Male,Backpack,Accessories,97,Arkansas,S,Fall,4.5,20,Weekly,20,31,40,Vendor G,3.0,Warehouse E,22.23
75,Male,Shoes,Footwear,65,Vermont,L,Fall,4.2,6,Fortnightly,16,17,12,Vendor G,3.0,Warehouse C,35.37
76,Male,Boots,Footwear,94,Nebraska,M,Fall,4.5,26,Fortnightly,18,41,18,Vendor E,1.5,Warehouse E,20.99
77,Male,Belt,Accessories,93,Colorado,L,Winter,3.0,29,Bi-Weekly,13,20,38,Vendor H,3.9,Warehouse E,28.4
78,Female,Blouse,Clothing,75,Connecticut,S,Summer,3.1,19,Annually,6,23,34,Vendor D,2.6,Warehouse E,21.05
79,Male,Shorts,Clothing,24,Iowa,M,Summer,2.7,18,Quarterly,17,48,30,Vendor F,4.8,Warehouse E,40.48
80,Male,Dress,Clothing,36,Alabama,M,Summer,4.3,23,Weekly,20,47,23,Vendor B,4.4,Warehouse E,48.2
81,Male,Hat,Accessories,89,Iowa,L,Fall,3.0,37,Every 3 Months,14,20,22,Vendor B,4.4,Warehouse E,46.75
82,Male,Backpack,Accessories,74,Alabama,M,Fall,4.7,44,Weekly,7,26,38,Vendor B,4.4,Warehouse E,31.13
83,Male,Pants,Clothing,70,Vermont,M,Winter,4.3,38,Annually,18,24,19,Vendor A,2.2,Warehouse C,36.9
84,Female,Socks,Clothing,45,Georgia,M,Fall,3.0,34,Fortnightly,7,11,34,Vendor F,4.8,Warehouse E,49.33
85,Male,Hoodie,Clothing,50,Connecticut,S,Winter,3.0,3,Bi-Weekly,14,42,19,Vendor E,1.5,Warehouse E,31.31
86,Male,Dress,Clothing,93,Arkansas,M,Spring,3.9,38,Fortnightly,11,33,31,Vendor H,3.9,Warehouse E,30.28
87,Male,Dress,Clothing,60,Washington,M,Fall,3.6,4,Fortnightly,5,43,29,Vendor A,2.2,Warehouse E,42.86
88,Male,Hoodie,Clothing,58,Florida,M,Winter,3.4,30,Weekly,15,43,12,Vendor D,2.6,Warehouse E,22.45
89,Female,Sweater,Clothing,41,New Hampshire,L,Spring,3.4,6,Monthly,15,44,38,Vendor F,4.8,Warehouse E,45.66
90,Female,Blouse,Clothing,32,Arkansas,M,Winter,2.6,18,Weekly,14,21,37,Vendor B,4.4,Warehouse E,19.25
91,Male,Sunglasses,Accessories,60,Vermont,XL,Winter,2.7,20,Every 3 Months,19,20,50,Vendor A,2.2,Warehouse C,36.22
92,Male,Scarf,Accessories,83,South Dakota,S,Fall,4.9,32,Bi-Weekly,8,33,33,Vendor D,2.6,Warehouse E,46.38
93,Male,Jeans,Clothing,82,Wyoming,L,Summer,4.1,25,Weekly,9,34,26,Vendor F,4.8,Warehouse E,24.96
94,Female,Hoodie,Clothing,58,Vermont,S,Spring,4.3,7,Fortnightly,17,12,31,Vendor C,3.3,Warehouse C,40.97
95,Male,Sunglasses,Accessories,26,Arkansas,S,Summer,2.8,40,Quarterly,14,24,30,Vendor C,3.3,Warehouse E,48.11
96,Female,Gloves,Accessories,87,Arizona,L,Summer,3.6,31,Annually,17,25,48,Vendor D,2.6,Warehouse E,43.21
97,Male,Pants,Clothing,68,California,M,Summer,3.2,23,Bi-Weekly,16,14,42,Vendor F,4.8,Warehouse E,13.16
98,Female,Sunglasses,Accessories,44,California,M,Summer,2.5,20,Quarterly,10,30,35,Vendor H,3.9,Warehouse E,45.23
99,Female,Hoodie,Clothing,100,New Mexico,M,Spring,4.8,33,Fortnightly,18,24,33,Vendor E,1.5,Warehouse E,47.31
100,Male,Hat,Accessories,90,Alabama,L,Summer,4.9,11,Every 3 Months,6,28,43,Vendor B,4.4,Warehouse E,30.25
101,Male,Handbag,Accessories,36,Mississippi,S,Fall,3.1,19,Monthly,9,34,50,Vendor C,3.3,Warehouse E,40.14
102,Female,Blouse,Clothing,37,Kansas,M,Spring,4.5,35,Monthly,8,25,41,Vendor D,2.6,Warehouse E,26.18
103,Male,Scarf,Accessories,85,Ohio,L,Fall,4.2,17,Every 3 Months,16,19,19,Vendor B,4.4,Warehouse E,42.41
104,Male,Sweater,Clothing,21,Texas,M,Summer,4.4,3,Bi-Weekly,8,21,41,Vendor A,2.2,Warehouse D,36.42
105,Male,Sneakers,Footwear,68,Georgia,S,Fall,4.0,21,Quarterly,8,32,49,Vendor E,1.5,Warehouse E,24.78
106,Male,Backpack,Accessories,51,Nebraska,M,Spring,4.7,14,Monthly,8,24,47,Vendor A,2.2,Warehouse E,19.81
107,Female,Jewelry,Accessories,30,South Carolina,L,Fall,4.5,8,Quarterly,15,43,20,Vendor B,4.4,Warehouse E,15.94
108,Male,Gloves,Accessories,77,Colorado,M,Winter,4.2,3,Quarterly,8,35,25,Vendor A,2.2,Warehouse E,10.2
109,Female,Socks,Clothing,55,Wisconsin,XL,Fall,3.6,42,Every 3 Months,6,46,13,Vendor B,4.4,Warehouse E,20.14
110,Female,Hat,Accessories,94,Texas,XL,Winter,3.5,48,Quarterly,5,33,35,Vendor F,4.8,Warehouse D,44.29
111,Male,Coat,Outerwear,97,West Virginia,L,Summer,2.6,8,Annually,6,44,21,Vendor C,3.3,Warehouse E,9.49
112,Female,Socks,Clothing,52,Missouri,M,Fall,3.7,30,Bi-Weekly,10,47,22,Vendor H,3.9,Warehouse E,34.91
113,Male,Blouse,Clothing,42,Indiana,L,Spring,2.6,41,Every 3 Months,17,44,19,Vendor B,4.4,Warehouse E,22.39
114,Male,Hat,Accessories,54,New Hampshire,M,Spring,2.7,33,Weekly,5,48,31,Vendor C,3.3,Warehouse E,12.63
115,Male,Boots,Footwear,88,Washington,M,Summer,3.9,41,Fortnightly,19,50,20,Vendor E,1.5,Warehouse E,26.32
116,Male,Jeans,Clothing,68,Missouri,L,Spring,3.0,17,Fortnightly,14,10,16,Vendor A,2.2,Warehouse E,49.31
117,Male,Backpack,Accessories,72,Wyoming,S,Fall,3.2,21,Quarterly,14,39,41,Vendor G,3.0,Warehouse E,48.49
118,Male,Sandals,Footwear,28,Ohio,S,Spring,4.6,27,Every 3 Months,10,19,17,Vendor G,3.0,Warehouse E,9.16
119,Female,Dress,Clothing,94,Alabama,M,Summer,3.3,44,Weekly,14,34,41,Vendor E,1.5,Warehouse E,30.62
120,Male,Jacket,Outerwear,61,Indiana,M,Spring,4.0,34,Annually,8,49,38,Vendor E,1.5,Warehouse E,5.47
121,Male,Belt,Accessories,29,Alabama,M,Fall,4.2,32,Every 3 Months,19,33,18,Vendor G,3.0,Warehouse E,29.57
122,Male,Sneakers,Footwear,33,Hawaii,L,Spring,3.0,40,Fortnightly,16,32,14,Vendor B,4.4,Warehouse B,43.02
123,Male,Blouse,Clothing,77,West Virginia,S,Spring,3.9,16,Every 3 Months,15,34,20,Vendor C,3.3,Warehouse E,42.64
124,Female,Dress,Clothing,90,Arizona,M,Fall,3.1,50,Monthly,10,21,38,Vendor B,4.4,Warehouse E,34.41
125,Male,Hoodie,Clothing,57,Alabama,M,Fall,2.7,26,Quarterly,5,21,10,Vendor D,2.6,Warehouse E,33.42
126,Male,Boots,Footwear,31,Illinois,M,Fall,4.9,9,Fortnightly,11,17,39,Vendor A,2.2,Warehouse A,17.99
127,Male,Scarf,Accessories,54,Tennessee,L,Winter,5.0,25,Quarterly,12,34,35,Vendor B,4.4,Warehouse E,42.05
128,Male,Sandals,Footwear,91,Ohio,S,Fall,3.4,18,Bi-Weekly,16,38,14,Vendor B,4.4,Warehouse E,49.43
129,Male,Boots,Footwear,55,New York,M,Summer,4.4,47,Weekly,12,31,40,Vendor G,3.0,Warehouse E,34.83
130,Female,Scarf,Accessories,21,Wyoming,XL,Spring,2.8,27,Bi-Weekly,9,37,26,Vendor E,1.5,Warehouse E,43.51
131,Male,Jacket,Outerwear,34,Maryland,M,Spring,4.6,22,Monthly,12,40,38,Vendor E,1.5,Warehouse E,42.92
132,Male,Coat,Outerwear,57,Idaho,M,Summer,3.7,48,Every 3 Months,10,22,27,Vendor F,4.8,Warehouse E,39.67
133,Male,Shirt,Clothing,22,Florida,M,Summer,4.6,25,Annually,6,37,42,Vendor H,3.9,Warehouse E,11.52
134,Female,Handbag,Accessories,40,Maine,XL,Winter,4.2,16,Monthly,5,27,19,Vendor C,3.3,Warehouse E,38.32
135,Male,Sneakers,Footwear,66,Alabama,L,Spring,3.4,36,Fortnightly,15,38,34,Vendor D,2.6,Warehouse E,46.08
136,Male,Sunglasses,Accessories,75,New Mexico,XL,Fall,3.5,24,Every 3 Months,17,20,31,Vendor G,3.0,Warehouse E,13.38
137,Female,Shorts,Clothing,94,New York,L,Fall,2.9,13,Annually,9,11,16,Vendor F,4.8,Warehouse E,5.22
138,Female,Sweater,Clothing,54,Nevada,XL,Summer,3.9,33,Bi-Weekly,11,10,48,Vendor E,1.5,Warehouse E,39.92
139,Male,Sweater,Clothing,62,Florida,M,Fall,4.5,46,Weekly,14,44,45,Vendor H,3.9,Warehouse E,33.44
140,Male,Dress,Clothing,99,Alaska,M,Summer,3.4,49,Quarterly,9,29,10,Vendor F,4.8,Warehouse E,39.2
141,Male,Socks,Clothing,27,Nevada,M,Summer,4.0,15,Quarterly,9,43,25,Vendor H,3.9,Warehouse E,41.27
142,Male,Sunglasses,Accessories,71,New Jersey,S,Spring,4.8,31,Fortnightly,11,21,39,Vendor A,2.2,Warehouse E,42.67
143,Female,Belt,Accessories,36,Hawaii,S,Summer,3.0,21,Bi-Weekly,11,27,31,Vendor H,3.9,Warehouse B,36.15
144,Male,Scarf,Accessories,97,Georgia,M,Summer,2.6,21,Quarterly,11,39,28,Vendor C,3.3,Warehouse E,6.18
145,Male,Socks,Clothing,79,Pennsylvania,M,Spring,4.0,43,Fortnightly,12,18,10,Vendor G,3.0,Warehouse E,15.32
146,Male,Sweater,Clothing,26,Virginia,L,Spring,4.8,1,Quarterly,12,36,14,Vendor G,3.0,Warehouse E,35.85
147,Male,Coat,Outerwear,34,Hawaii,XL,Fall,4.3,30,Weekly,6,19,13,Vendor B,4.4,Warehouse B,49.09
148,Male,Scarf,Accessories,96,California,XL,Spring,4.0,33,Monthly,16,19,12,Vendor F,4.8,Warehouse E,6.06
149,Male,Sweater,Clothing,45,Montana,XL,Winter,3.5,29,Fortnightly,13,24,40,Vendor G,3.0,Warehouse E,36.13
150,Male,Shorts,Clothing,25,Nebraska,M,Fall,2.8,50,Fortnightly,14,27,25,Vendor A,2.2,Warehouse E,32.66
151,Male,Sunglasses,Accessories,21,North Dakota,L,Summer,3.1,47,Monthly,19,25,46,Vendor B,4.4,Warehouse E,33.02
152,Male,Jewelry,Accessories,71,Tennessee,S,Fall,2.6,45,Fortnightly,19,10,31,Vendor F,4.8,Warehouse E,32.72
153,Male,T-shirt,Clothing,96,Maryland,L,Winter,3.4,14,Every 3 Months,13,30,30,Vendor H,3.9,Warehouse E,36.48
154,Female,Socks,Clothing,91,Montana,M,Summer,2.7,50,Bi-Weekly,10,19,13,Vendor D,2.6,Warehouse E,15.14
155,Male,Backpack,Accessories,67,South Dakota,M,Winter,2.5,10,Annually,19,24,47,Vendor F,4.8,Warehouse E,11.42
156,Male,Shirt,Clothing,65,Alaska,L,Spring,2.9,7,Monthly,20,31,11,Vendor C,3.3,Warehouse E,11.39
157,Male,Coat,Outerwear,52,West Virginia,S,Spring,4.2,12,Monthly,19,17,26,Vendor A,2.2,Warehouse E,26.95
158,Male,Jeans,Clothing,36,Montana,M,Summer,3.4,49,Monthly,15,33,30,Vendor A,2.2,Warehouse E,17.34
159,Male,Shirt,Clothing,46,Hawaii,L,Fall,3.1,8,Annually,15,47,18,Vendor B,4.4,Warehouse B,33.85
160,Male,Skirt,Clothing,60,Rhode Island,M,Fall,4.2,22,Quarterly,13,27,13,Vendor B,4.4,Warehouse E,21.22
161,Female,Pants,Clothing,36,Delaware,L,Winter,4.9,37,Annually,18,22,24,Vendor B,4.4,Warehouse E,39.09
162,Male,Sneakers,Footwear,35,Illinois,M,Winter,2.7,36,Quarterly,12,22,28,Vendor A,2.2,Warehouse A,23.3
163,Male,T-shirt,Clothing,37,Connecticut,L,Winter,3.1,39,Bi-Weekly,17,41,41,Vendor A,2.2,Warehouse E,37.52
164,Male,Blouse,Clothing,34,Arizona,L,Spring,3.0,43,Quarterly,7,28,21,Vendor H,3.9,Warehouse E,18.37
165,Male,Belt,Accessories,23,Iowa,M,Winter,4.3,12,Fortnightly,20,42,39,Vendor A,2.2,Warehouse E,23.93
166,Male,Belt,Accessories,93,South Dakota,XL,Winter,4.1,34,Bi-Weekly,16,48,15,Vendor C,3.3,Warehouse E,39.85
167,Male,Backpack,Accessories,31,Michigan,M,Winter,4.3,19,Bi-Weekly,13,37,32,Vendor C,3.3,Warehouse E,10.67
168,Male,Hoodie,Clothing,83,Oklahoma,S,Winter,2.5,6,Monthly,12,11,49,Vendor A,2.2,Warehouse E,10.18
169,Female,Scarf,Accessories,62,Wyoming,L,Fall,2.9,6,Annually,16,50,40,Vendor D,2.6,Warehouse E,49.08
170,Male,Hat,Accessories,84,West Virginia,L,Summer,4.0,32,Annually,16,49,16,Vendor G,3.0,Warehouse E,20.02
171,Male,Jacket,Outerwear,88,New Jersey,S,Spring,3.5,50,Bi-Weekly,18,10,38,Vendor D,2.6,Warehouse E,32.02
172,Male,Jeans,Clothing,29,Massachusetts,S,Summer,3.6,13,Quarterly,7,42,36,Vendor F,4.8,Warehouse E,37.7
173,Female,Handbag,Accessories,91,Florida,M,Summer,4.0,3,Bi-Weekly,5,13,42,Vendor C,3.3,Warehouse E,42.56
174,Male,Sneakers,Footwear,83,Minnesota,M,Winter,3.7,23,Fortnightly,18,16,14,Vendor E,1.5,Warehouse E,44.11
175,Male,Pants,Clothing,26,Arkansas,L,Winter,4.5,6,Monthly,5,49,43,Vendor G,3.0,Warehouse E,34.97
176,Female,Backpack,Accessories,59,Florida,M,Summer,4.4,49,Weekly,12,24,48,Vendor B,4.4,Warehouse E,9.78
177,Female,Scarf,Accessories,25,Georgia,L,Spring,2.8,17,Weekly,20,34,29,Vendor A,2.2,Warehouse E,42.51
178,Male,Gloves,Accessories,30,New York,L,Winter,4.7,35,Monthly,6,24,31,Vendor C,3.3,Warehouse E,35.31
179,Female,Hat,Accessories,62,Texas,XL,Fall,3.2,33,Annually,14,42,49,Vendor D,2.6,Warehouse D,15.0
180,Male,Dress,Clothing,38,Mississippi,XL,Winter,4.7,36,Quarterly,13,40,12,Vendor C,3.3,Warehouse E,28.89
181,Male,Jacket,Outerwear,55,Indiana,S,Winter,3.9,1,Annually,9,34,43,Vendor D,2.6,Warehouse E,46.03
182,Male,Jewelry,Accessories,74,New Hampshire,M,Fall,3.6,26,Quarterly,7,42,33,Vendor G,3.0,Warehouse E,46.86
183,Male,Skirt,Clothing,92,South Dakota,L,Fall,4.2,45,Fortnightly,13,29,34,Vendor H,3.9,Warehouse E,24.73
184,Male,Socks,Clothing,22,Virginia,XL,Spring,3.2,43,Weekly,20,42,21,Vendor H,3.9,Warehouse E,31.46
185,Male,Jeans,Clothing,35,Wyoming,XL,Summer,3.2,6,Quarterly,11,33,13,Vendor D,2.6,Warehouse E,48.93
186,Male,Jeans,Clothing,52,North Dakota,XL,Fall,4.6,16,Annually,6,17,15,Vendor G,3.0,Warehouse E,26.71
187,Female,Handbag,Accessories,81,California,M,Spring,3.1,33,Quarterly,20,47,12,Vendor H,3.9,Warehouse E,11.75
188,Male,Gloves,Accessories,84,Massachusetts,M,Fall,2.9,32,Bi-Weekly,13,24,28,Vendor E,1.5,Warehouse E,10.07
189,Male,Hoodie,Clothing,61,Texas,L,Fall,3.0,31,Bi-Weekly,5,11,37,Vendor G,3.0,Warehouse D,23.32
190,Male,Sandals,Footwear,51,Arizona,M,Spring,2.6,12,Bi-Weekly,18,26,23,Vendor H,3.9,Warehouse E,5.0
191,Male,Blouse,Clothing,96,Arkansas,S,Spring,5.0,17,Weekly,14,35,50,Vendor C,3.3,Warehouse E,29.18
192,Female,Hat,Accessories,54,Michigan,M,Summer,4.3,3,Bi-Weekly,17,21,31,Vendor B,4.4,Warehouse E,23.02
193,Male,Jewelry,Accessories,76,Pennsylvania,S,Fall,3.0,42,Weekly,9,45,38,Vendor H,3.9,Warehouse E,41.65
194,Female,T-shirt,Clothing,85,Maryland,XL,Summer,4.2,47,Every 3 Months,5,37,13,Vendor F,4.8,Warehouse E,13.93
195,Male,Gloves,Accessories,64,Kentucky,M,Winter,4.9,36,Quarterly,5,16,20,Vendor D,2.6,Warehouse E,32.7
196,Female,Shorts,Clothing,44,Kentucky,L,Winter,3.2,11,Weekly,5,12,19,Vendor C,3.3,Warehouse E,44.77
197,Male,Socks,Clothing,31,Tennessee,L,Spring,3.4,1,Annually,11,39,28,Vendor D,2.6,Warehouse E,7.9
198,Male,Gloves,Accessories,54,South Carolina,M,Spring,4.5,26,Bi-Weekly,20,43,12,Vendor E,1.5,Warehouse E,30.86
199,Male,Jewelry,Accessories,24,Wisconsin,XL,Spring,4.5,24,Annually,20,16,44,Vendor H,3.9,Warehouse E,49.17
200,Female,T-shirt,Clothing,86,Oklahoma,M,Winter,2.6,28,Bi-Weekly,18,25,18,Vendor H,3.9,Warehouse E,30.56
201,Female,Jeans,Clothing,35,Minnesota,M,Spring,4.2,3,Monthly,16,13,11,Vendor H,3.9,Warehouse E,33.73
202,Male,Skirt,Clothing,88,Oklahoma,M,Summer,2.8,25,Quarterly,11,29,10,Vendor F,4.8,Warehouse E,47.5
203,Male,T-shirt,Clothing,85,Alabama,M,Spring,2.6,43,Fortnightly,18,46,31,Vendor C,3.3,Warehouse E,32.2
